Title,ParentID,CollaborationPeriod,ResponsibleEntity,TypeOfSubmission,StrategicPlanENG,StrategicPlanSPA,HealthAgendaENG,HealthAgendaSPA,DescriptionENG,DescriptionSPA,ExpectedResultsENG,ExpectedResultsSPA,DurationENG,DurationSPA
NSA-2025-37-WPA_5,37,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 13: Risk factors for non-communicable diseases; OCM 27: Leadership and governance,OCM 13: Factores de riesgo para las ENCD; OCM 27: Liderazgo y gobernanza,Goal 9: Noncommunicable Diseases,Meta 9: Enfermedades No Transmisibles,"In support of the PAHO Better Care for NCDs initiative, develop resources to guide the implementation of Strategic Area 2: Community outreach and participation in NCD services, with a focus on equity.","En apoyo a la iniciativa de la OPS para una mejor atención de las ENTs, desarrolle recursos para guiar la implementación del Área Estratégica 2: Alcance comunitario y participación en los servicios de ENTs, con un enfoque en la equidad.",,,2024 – 2026,2024 – 2026
NSA-2025-37-WPA_6,37,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 13: Risk factors for non-communicable diseases; OCM 27: Leadership and governance,OCM 13: Factores de riesgo para las ENCD; OCM 27: Liderazgo y gobernanza,Goal 9: Noncommunicable Diseases,Meta 9: Enfermedades No Transmisibles,"Ongoing advocacy for healthy food environments, in collaboration with PAHO, through the implementation of key policies such as mandatory front-of-package nutrition warning labels, healthy school policies, fiscal measures to promote the consumption of healthy foods, and regulations on marketing unhealthy foods to children.","Abogacía continua por entornos alimentarios saludables, en colaboración con la OPS, a través de la implementación de políticas clave como etiquetas de advertencia nutricional obligatorias en el frente del paquete, políticas escolares saludables, medidas fiscales para promover el consumo de alimentos saludables y regulaciones sobre la publicidad de alimentos no saludables dirigidos a niños.",,,2024 – 2026,2024 – 2026
NSA-2025-37-WPA_7,37,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 13: Risk factors for non-communicable diseases; OCM 27: Leadership and governance,OCM 13: Factores de riesgo para las ENCD; OCM 27: Liderazgo y gobernanza,Goal 9: Noncommunicable Diseases,Meta 9: Enfermedades No Transmisibles,"Promotion of regional/national comprehensive alcohol policies in support of HCC’s Transformative New NCD Agenda. In partnership with PAHO, the Caribbean Public Health Agency (CARPHA), and other key stakeholders, HCC will continue to host the annual Caribbean Alcohol Reduction Day to raise awareness among the public and policymakers about the harmful effects of alcohol use.","Promoción de políticas integrales sobre el alcohol a nivel regional/nacional en apoyo a la Nueva Agenda Transformadora de Enfermedades No Transmisibles (ENT) de HCC. En colaboración con la OPS, la Agencia de Salud Pública del Caribe (CARPHA) y otros actores clave, HCC continuará organizando el Día Anual de Reducción del Alcohol en el Caribe para crear conciencia entre el público y los responsables de políticas sobre los efectos nocivos del consumo de alcohol.",,,2024 – 2026,2024 – 2026
NSA-2025-58-WPA_1,58,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 17: Elimination of communicable diseases,OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Fostering partnerships, engagement, and advocacy for disease elimination: advancing the Elimination Initiative (EI) by involving partners to support and finance public policies and actions across various sectors. Establish alliances and partnerships among diverse organizations to ensure wide participation, political commitment, and resource allocation, enhance sectoral and intersectoral actions and dialogue, engage in high-level political analysis, and invest in activities aimed at disease elimination.","Fomentar asociaciones, compromiso y defensa para la eliminación de enfermedades: avanzar en la Iniciativa de Eliminación (EI) involucrando a socios para apoyar y financiar políticas públicas y acciones en diversos sectores. Crear alianzas y asociaciones entre diversas organizaciones para asegurar una amplia participación, compromiso político y asignación de recursos, aumentar las acciones y el diálogo sectoriales e intersectoriales, participar en análisis político de alto nivel e invertir en actividades de eliminación de enfermedades.",,,2025,2025
NSA-2025-58-WPA_2,58,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 17: Elimination of communicable diseases,OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Increase access to comprehensive and quality health services for disease elimination: strengthen synergies to enhance national and subnational capacities for improving access to comprehensive and high-quality health services aimed at eliminating diseases; addressing the diverse needs of affected groups and populations. Promote the development of a sustainable, well-trained workforce to better meet health system requirements and serve the population's needs for disease elimination.",Aumentar el acceso a servicios de salud integrales y de calidad para la eliminación de enfermedades: fortalecer sinergias para reforzar las capacidades nacionales y subnacionales que aumenten el acceso a servicios de salud integrales y de alta calidad para eliminar enfermedades; respondiendo a las diversas necesidades de los grupos y poblaciones afectadas. Fomentar el desarrollo de una fuerza laboral sostenible y bien capacitada para abordar mejor los requisitos de los sistemas de salud y atender las necesidades de la población para la eliminación de enfermedades.,,,2025,2025
NSA-2025-58-WPA_3,58,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 17: Elimination of communicable diseases,OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Strengthen access to medicines, diagnostics, supplies, and health technologies for disease elimination: promote collaborations and synergies to enhance access to essential medicines and vaccines, as well as other priority health technologies and supplies; improve laboratory networks, laboratory quality and capacity, and supply chain management.","Fortalecer el acceso a medicamentos, diagnósticos, suministros y tecnologías de salud para la eliminación de enfermedades: fomentar colaboraciones y sinergias para mejorar el acceso a medicamentos y vacunas esenciales, así como a otras tecnologías y suministros de salud prioritarios; fortalecer las redes de laboratorios, la calidad y capacidad de los laboratorios, y la gestión de la cadena de suministro.",,,2025,2025
NSA-2025-58-WPA_4,58,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 17: Elimination of communicable diseases,OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,"Monitoring and Evaluation / M&E Framework for Disease Elimination Strategy: Foster synergies to invest in and enhance integrated information and surveillance systems, including the incorporation of new technologies and innovative tools, with the capacity to generate and analyze disaggregated data for decision-making. Develop and create a monitoring and evaluation framework with operational tools as part of the updating and strengthening of regional and national capacities.","Monitoreo y evaluación / Marco de M y E para la Estrategia de Eliminación de Enfermedades: Fomentar sinergias para invertir y mejorar los sistemas de información y vigilancia integrados, incluyendo la incorporación de nuevas tecnologías y herramientas innovadoras, con la capacidad de generar y analizar datos desagregados para la toma de decisiones. Desarrollar y elaborar un marco de monitoreo y evaluación con herramientas operativas, como parte de la actualización y fortalecimiento de las capacidades regionales y nacionales.",,,2025,2025
NSA-2025-58-WPA_5,58,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 17: Elimination of communicable diseases,OCM 17: Eliminación de enfermedades transmisibles,Goal 10: Communicable Diseases,Meta 10: Enfermedades Transmisibles,Evidence for decision-making in support of the Disease Elimination Strategy: Support the generation and sharing of evidence to guide health authorities in eliminating diseases. Develop methodologies and tools to estimate costs and identify financial gaps in operational plans; support cost-benefit analysis; emphasize the expected benefits/return on investment (ROI) for health systems by working in the elimination initiative; identify knowledge gaps and necessary operational research to support the elimination of communicable diseases in the region.,Evidencia para la toma de decisiones en apoyo a la Estrategia de Eliminación de Enfermedades: Apoyar la generación y el intercambio de evidencia para guiar a las autoridades de salud en la eliminación de enfermedades. Desarrollar metodologías y herramientas para estimar costos e identificar brechas financieras de los planes operativos; apoyar el análisis costo-beneficio; enfatizar los beneficios esperados/ROI para los sistemas de salud al trabajar en la EI; identificar brechas de conocimiento y la investigación operativa necesaria para apoyar la eliminación de enfermedades transmisibles en la región.,,,2025,2025
NSA-2025-43-WPA_1,43,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 13: Risk factors for non-communicable diseases (NCDs),OCM 13: Factores de riesgo para las ENCD,Goal 9: Noncommunicable Diseases,Meta 9: Enfermedades No Transmisibles,"ASH advanced dialogue on ending cigarette sales. On June 22, 2025, ASH hosted the First Global Tobacco Endgame Summit in Dublin with participants from the Americas. In the U.S., ASH co-hosted the 2nd U.S. Endgame Summit in Chicago on August 25 with the National Conference on Tobacco or Health, and the 10th Annual “DC Calls It Quits” Summit on September 19 in Washington, D.C., engaging policymakers, advocates, and researchers.","ASH avanzó en el diálogo sobre el fin de las ventas de cigarrillos. El 22 de junio de 2025, ASH organizó la Primera Cumbre Global sobre el Fin del Tabaco en Dublín, con participantes de las Américas. En EE. UU., ASH coorganizó la 2ª Cumbre Nacional sobre el Fin del Tabaco en Chicago el 25 de agosto, junto con la Conferencia Nacional sobre Tabaco o Salud, y la 10ª Cumbre Anual “DC Calls It Quits” el 19 de septiembre en Washington, D.C., involucrando a responsables de políticas, defensores e investigadores.",,,06 - 09/2025,06 - 09/2025
NSA-2025-43-WPA_2,43,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 13: Risk factors for non-communicable diseases (NCDs),OCM 13: Factores de riesgo para las ENCD,Goal 9: Noncommunicable Diseases,Meta 9: Enfermedades No Transmisibles,"In October 2024, ASH submitted reports to CEDAW on countries including Canada and Chile. In February 2025, ASH collaborated with the Pan American Health Organization (PAHO) on communication plans throughout the year to support the newly adopted 2025–2030 Strategy and Plan of Action to Strengthen Tobacco Control in the Americas. ASH also moderated human rights panels at WCTOH and made interventions at the PAHO 62nd Directing Council.","En octubre de 2024, ASH presentó informes a la CEDAW sobre países como Canadá y Chile. En febrero de 2025, ASH colaboró con la Organización Panamericana de la Salud (OPS) en planes de comunicación a lo largo del año para apoyar la recién adoptada Estrategia y Plan de Acción 2025-2030 para Fortalecer el Control del Tabaco en las Américas. ASH también moderó paneles sobre derechos humanos en el WCTOH y realizó intervenciones en el 62º Consejo Directivo de la OPS.",,,10/2024 - 02/2025,10/2024 - 02/2025
NSA-2025-40-WPA_1,40,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 13: Risk factors for non-communicable diseases (NCDs),OCM 13: Factores de riesgo para las ENCD,Goal 9: Noncommunicable Diseases,Meta 9: Enfermedades No Transmisibles,"2024 – 2026:

Organize two regional dialogues on the Latin America Tobacco Industry Interference Indexes, followed by working groups to identify two or three areas for Member States to advance by 2027.

Prepare a case study of shared experiences for dissemination before and during COP11/MOP4.

Conduct two dialogues on progress, update the case study to include recommendations on Article 5.3 of the FCTC, and host a virtual event on World No Tobacco Day 2027.","2024 – 2026:

Convocar dos diálogos regionales sobre los Índices de Interferencia de la Industria del Tabaco en América Latina, seguidos de grupos de trabajo para definir dos o tres áreas en las que los Estados Miembros puedan avanzar para 2027.

Preparar un estudio de caso de experiencias compartidas para su difusión antes y durante la COP11/MOP4.

Realizar dos diálogos sobre el progreso, actualizar el estudio de caso incluyendo recomendaciones sobre el Artículo 5.3 del FCTC, y organizar un evento virtual en el Día Mundial Sin Tabaco 2027.",,,01-12/2025,01-12/2025
NSA-2025-43-WPA_3,43,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 13: Risk factors for non-communicable diseases (NCDs),OCM 13: Factores de riesgo para las ENCDs,Goal 9: Noncommunicable Diseases,Meta 9: Enfermedades No Transmisibles,"ASH exposed the tobacco industry's influence in the Americas. On July 31, 2025, ASH launched the updated U.S. Lobbyist & Lobbying Firm Tracker. Earlier, ASH hosted a webinar on the 20th Anniversary of the WHO FCTC with speakers from Brazil and Colombia discussing the advancement of Article 5.3. ASH engaged with PAHO to support the 2025–2030 Strategy, coordinated an October 22 webinar with PAHO and Corporate Accountability, and prepared the 2025 U.S. Industry Interference Index for launch on October 30.","ASH expuso la influencia de la industria del tabaco en las Américas. El 31 de julio de 2025, ASH lanzó el rastreador actualizado de cabilderos y firmas de cabildeo de EE. UU. Anteriormente, ASH organizó un seminario web sobre el 20.º aniversario del FCTC de la OMS con ponentes de Brasil y Colombia sobre el avance del Artículo 5.3. ASH se comprometió con la OPS para apoyar la Estrategia 2025-2030, coordinó un seminario web el 22 de octubre con la OPS y Corporate Accountability, y preparó el Índice de Interferencia de la Industria de EE. UU. 2025 para su lanzamiento el 30 de octubre.",,,07- 11/2025,07- 11/2025
NSA-2025-9-WPA_1,9,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 18: Social and environmental determinants; OCM 27: Leadership and governance,OCM 18: Determinantes sociales y ambientales; OCM 27: Liderazgo y gobernanza,Goal 11: Health Inequalities and Inequities; Goal 2: Stewardship and Governance,Objetivo 11: Desigualdades e Inequidades en Salud; Objetivo 2: Administración y Gobernanza,"Preliminary Consultation Meeting of COP30 Climate and Health Action Plan - hosted by the Ministry of Health of Brazil and PAHO/WHO.

This event marked the first step in discussing the Belem Health Action Plan, which focused on proposing adaptation measures to climate change for the health sector. As part of this effort, the team sought to gather input on the pillars of work from participants. The event featured panels and discussions on relevant topics aligned with the plan.","Reunión de Consulta Preliminar del Plan de Acción sobre Clima y Salud de la COP30 - organizada por el Ministerio de Salud de Brasil y la OPS/OMS.

Este evento marcó el primer paso en la discusión del Plan de Acción en Salud de Belém, que se centró en proponer medidas de adaptación al cambio climático para el sector salud. Como parte de este esfuerzo, el equipo buscó recopilar aportes sobre los pilares de trabajo de los participantes. El evento incluyó paneles y discusiones sobre temas relevantes alineados con el plan.",,,03/2025,03/2025
NSA-2025-9-WPA_2,9,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 18: Social and environmental determinants; OCM 27: Leadership and governance,OCM 18: Determinantes sociales y ambientales; OCM 27: Liderazgo y gobernanza,Goal 11: Health Inequalities and Inequities; Goal 2: Stewardship and Governance,Objetivo 11: Desigualdades e Inequidades en Salud; Objetivo 2: Administración y Gobernanza,"Global Conference on Climate and Health, July 2025.

The Ministry of Health of Brazil, in collaboration with WHO and PAHO, hosted the 2025 Global Conference on Climate and Health. As an official Pre-COP30 meeting and the second gathering of the Alliance for Transformative Action on Climate and Health (ATACH), it provided a crucial platform for discussions on climate and health, particularly focusing on the Belem Health Action Plan.","Conferencia Global sobre Clima y Salud, julio de 2025.

El Ministerio de Salud de Brasil, junto con la OMS y la OPS, organizó la Conferencia Global sobre Clima y Salud 2025. Como una reunión oficial previa a la COP30 y la segunda reunión de la Alianza para la Acción Transformadora sobre Clima y Salud (ATACH), ofreció una plataforma clave para la discusión sobre clima y salud, y específicamente sobre el Plan de Acción de Salud de Belém.",,,07/ 2025,07/ 2025
NSA-2025-9-WPA_3,9,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 18: Social and environmental determinants; OCM 27: Leadership and governance,OCM 18: Determinantes sociales y ambientales; OCM 27: Liderazgo y gobernanza,Goal 11: Health Inequalities and Inequities; Goal 2: Stewardship and Governance,Objetivo 11: Desigualdades e Inequidades en Salud; Objetivo 2: Administración y Gobernanza,"Advancing Climate and Health Action on the Road to COP30

During Climate Week NYC, the host of COP30 in Belém, Brazil, is seizing the opportunity to change this trajectory. At COP30, the focus will be on action. Brazil is leading the development of a robust action agenda aimed at implementing concrete solutions. In this context, the Ministry of Health is spearheading the Belém Health Action Plan, a bold, equity-centered roadmap to embed health into climate action.","### Traducción

Avanzando en la Acción Climática y de Salud en el Camino hacia la COP30

Durante la Semana del Clima en Nueva York, el anfitrión de la COP30 en Belém, Brasil, está aprovechando la oportunidad para cambiar esta trayectoria. En la COP30, el enfoque estará en la acción. Brasil está liderando el desarrollo de una agenda de acción robusta destinada a implementar soluciones concretas. En este contexto, el Ministerio de Salud está encabezando el Plan de Acción de Salud de Belém, una hoja de ruta audaz y centrada en la equidad para integrar la salud en la acción climática.",,,09/2025,09/2025
NSA-2025-41-WPA_1,41,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 08: Access to health technologies; OCM 02: Health throughout the life course; OCM 07: Health workforce; OCM 10: Increased public health financing; OCM 12: Risk factors for communicable diseases; OCM 17: Elimination of communicable diseases; OCM 19: Health promotion and intersectoral action; OCM 23: Health emergencies preparedness and risk reduction; OCM 24: Epidemic and pandemic prevention and control.,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 08: Acceso a tecnologías de salud; OCM 02: Salud a lo largo del ciclo de vida; OCM 07: Fuerza laboral de salud; OCM 10: Aumento de la financiación en salud pública; OCM 12: Factores de riesgo para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles; OCM 19: Promoción de la salud y acción intersectorial; OCM 23: Preparación para emergencias de salud y reducción de riesgos; OCM 24: Prevención y control de epidemias y pandemias.,"Goal 1: Equitable Access to Health Services; Goal 5: Medicines, Vaccines, and Technologies","Meta 1: Acceso Equitativo a los Servicios de Salud; Meta 5: Medicamentos, Vacunas y Tecnologías",Harmonization of Pharmaceutical Regulation. Coordination of FIFARMA's participation in the Board of Directors of the PARF Network.,Armonización de la Regulación Farmacéutica. Coordinación de la participación de FIFARMA en el Consejo Directivo de la Red PARF.,,,01-12/2025,01-12/2025
NSA-2025-41-WPA_2,41,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 08: Access to health technologies; OCM 02: Health throughout the life course; OCM 07: Health workforce; OCM 10: Increased public health financing; OCM 12: Risk factors for communicable diseases; OCM 17: Elimination of communicable diseases; OCM 19: Health promotion and intersectoral action; OCM 23: Health emergencies preparedness and risk reduction; OCM 24: Epidemic and pandemic prevention and control.,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 08: Acceso a tecnologías de salud; OCM 02: Salud a lo largo del ciclo de vida; OCM 07: Fuerza laboral de salud; OCM 10: Aumento de la financiación en salud pública; OCM 12: Factores de riesgo para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles; OCM 19: Promoción de la salud y acción intersectorial; OCM 23: Preparación para emergencias de salud y reducción de riesgos; OCM 24: Prevención y control de epidemias y pandemias.,"Goal 1: Equitable Access to Health Services; Goal 5: Medicines, Vaccines, and Technologies","Meta 1: Acceso Equitativo a los Servicios de Salud; Meta 5: Medicamentos, Vacunas y Tecnologías","Strengthening of National Pharmacovigilance Systems. Development of educational material on pharmacovigilance for audiences defined by mutual agreement, development and support for expert committees in pharmacovigilance as advisors to health authorities in the region, development of academic activities for the dissemination of pharmacovigilance.","Fortalecimiento de los Sistemas Nacionales de Farmacovigilancia. Desarrollo de material educativo sobre farmacovigilancia para audiencias definidas en común acuerdo, desarrollo y soporte a comités de expertos en farmacovigilancia como asesores de autoridades sanitarias en la región, desarrollo de actividades académicas de divulgación de farmacovigilancia.",,,01-12/2025,01-12/2025
NSA-2025-41-WPA_3,41,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 08: Access to health technologies; OCM 02: Health throughout the life course; OCM 07: Health workforce; OCM 10: Increased public health financing; OCM 12: Risk factors for communicable diseases; OCM 17: Elimination of communicable diseases; OCM 19: Health promotion and intersectoral action; OCM 23: Health emergencies preparedness and risk reduction; OCM 24: Epidemic and pandemic prevention and control.,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 08: Acceso a tecnologías de salud; OCM 02: Salud a lo largo del ciclo de vida; OCM 07: Fuerza laboral de salud; OCM 10: Aumento de la financiación en salud pública; OCM 12: Factores de riesgo para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles; OCM 19: Promoción de la salud y acción intersectorial; OCM 23: Preparación para emergencias de salud y reducción de riesgos; OCM 24: Prevención y control de epidemias y pandemias.,"Goal 1: Equitable Access to Health Services; Goal 5: Medicines, Vaccines, and Technologies","Meta 1: Acceso Equitativo a los Servicios de Salud; Meta 5: Medicamentos, Vacunas y Tecnologías","Promotion of the use of regulatory decisions from other jurisdictions (Reliance). Support the strengthening of human resources capacity in countries of Latin America and the Caribbean in the areas of manufacturing, control, and regulation of medicines and other health technologies, through support for the development of learning pathways designed according to the profiles of essential competencies required.","Promoting the use of regulatory decisions from other jurisdictions (Reliance). Supporting the strengthening of human resources capacities in Latin American and Caribbean countries regarding the manufacturing, control, and regulation of medicines and other health technologies, through support for the development of learning pathways designed according to the profiles of essential competencies required.",,,01-12/2025,01-12/2025
NSA-2025-41-WPA_4,41,,PAHO/OPS & NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 08: Access to health technologies; OCM 02: Health throughout the life course; OCM 07: Health workforce; OCM 10: Increased public health financing; OCM 12: Risk factors for communicable diseases; OCM 17: Elimination of communicable diseases; OCM 19: Health promotion and intersectoral action; OCM 23: Health emergencies preparedness and risk reduction; OCM 24: Epidemic and pandemic prevention and control.,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 08: Acceso a tecnologías de salud; OCM 02: Salud a lo largo del curso de la vida; OCM 07: Fuerza laboral de salud; OCM 10: Aumento de la financiación de la salud pública; OCM 12: Factores de riesgo para enfermedades transmisibles; OCM 17: Eliminación de enfermedades transmisibles; OCM 19: Promoción de la salud y acción intersectorial; OCM 23: Preparación para emergencias de salud y reducción de riesgos; OCM 24: Prevención y control de epidemias y pandemias.,"Goal 1: Equitable Access to Health Services; Goal 5: Medicines, Vaccines, and Technologies","Meta 1: Acceso Equitativo a los Servicios de Salud; Meta 5: Medicamentos, Vacunas y Tecnologías","FIFARMA will continue to provide support for measures to detect, prevent, and respond to substandard, counterfeit, and smuggled products, as well as for the formulation and implementation of strategies to combat the circulation of these products, while enabling the analysis of available regional statistics on substandard or counterfeit medicines and the measures taken to combat them.","FIFARMA will continue to support measures to detect, prevent, and respond to substandard, counterfeit, and smuggled products, as well as to the formulation and implementation of strategies to combat the circulation of these products, while enabling the analysis of available regional statistics on substandard or counterfeit medicines and the measures taken to combat them.",,,12/2026,12/2026
NSA-2025-31-WPA_1,31,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 07: Health workforce; OCM 18: Social and environmental determinants; OCM 23: Health emergencies preparedness and risk reduction,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 07: Fuerza laboral de salud; OCM 18: Determinantes sociales y ambientales; OCM 23: Preparación para emergencias de salud y reducción de riesgos.,"Goal 1: Equitable Access to Health Services; Goal 3: Human Resources for Health; Goal 7: Evidence and Knowledge in Health; Goal 8: Outbreaks, Emergencies, and Disasters","Meta 1: Acceso Equitativo a los Servicios de Salud; Meta 3: Recursos Humanos para la Salud; Meta 7: Evidencia y Conocimiento en Salud; Meta 8: Brotes, Emergencias y Desastres","On August 26–27, Health Care Without Harm’s regional team in Latin America and the Caribbean held the event Towards COP30: Climate Action for Health in Latin America and the Caribbean as part of its COP30 strategy. PAHO participated with an intervention by Daniel Buss, Head of the Climate Change and Environmental Determinants of Health Unit at PAHO, presenting PAHO’s work on climate action, resources, and expectations framed in the Belém Health Action Plan.","El 26 y 27 de agosto, el equipo regional de Health Care Without Harm en América Latina y el Caribe llevó a cabo el evento Hacia la COP30: Acción Climática por la Salud en América Latina y el Caribe como parte de su estrategia para la COP30. La OPS participó con una intervención de Daniel Buss, Jefe de la Unidad de Cambio Climático y Determinantes Ambientales de la Salud de la OPS, presentando el trabajo de la OPS en acción climática, recursos y expectativas enmarcadas en el Plan de Acción de Salud de Belém.",,,2 days,2 days
NSA-2025-31-WPA_2,31,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 07: Health workforce; OCM 18: Social and environmental determinants; OCM 23: Health emergencies preparedness and risk reduction,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 07: Fuerza laboral de salud; OCM 18: Determinantes sociales y ambientales; OCM 23: Preparación para emergencias de salud y reducción de riesgos.,"Goal 1: Equitable Access to Health Services; Goal 3: Human Resources for Health; Goal 7: Evidence and Knowledge in Health; Goal 8: Outbreaks, Emergencies, and Disasters","Meta 1: Acceso Equitativo a los Servicios de Salud; Meta 3: Recursos Humanos para la Salud; Meta 7: Evidencia y Conocimiento en Salud; Meta 8: Brotes, Emergencias y Desastres","As part of the Brazilian COP Presidency’s initiative during the Global Conference on Climate and Health in Brasilia, a Supporting Document was created in collaboration with PAHO under the Innovation and Production pillar of the Belém Health Action Plan. The initiative aimed to identify consolidated policies and best practices to guide countries in adapting to climate change and improving health outcomes.","Como parte del llamado de la Presidencia brasileña de la COP en la Conferencia Global sobre Clima y Salud en Brasilia, se desarrolló un Documento de Apoyo en colaboración con la OPS bajo el pilar de Innovación y Producción del Plan de Acción de Salud de Belém. El llamado tenía como objetivo identificar políticas consolidadas y buenas prácticas para guiar a los países con opciones para adaptarse al cambio climático y mejorar los resultados en salud.",,,5 months,5 months
NSA-2025-31-WPA_3,31,,NSA/ANE,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 07: Health workforce; OCM 18: Social and environmental determinants; OCM 23: Health emergencies preparedness and risk reduction,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 07: Fuerza laboral de salud; OCM 18: Determinantes sociales y ambientales; OCM 23: Preparación para emergencias de salud y reducción de riesgos.,"Goal 1: Equitable Access to Health Services; Goal 3: Human Resources for Health; Goal 7: Evidence and Knowledge in Health; Goal 8: Outbreaks, Emergencies, and Disasters","Meta 1: Acceso Equitativo a los Servicios de Salud; Meta 3: Recursos Humanos para la Salud; Meta 7: Evidencia y Conocimiento en Salud; Meta 8: Brotes, Emergencias y Desastres","From September 29 to October 3, Health Care Without Harm participated in the 62nd Directing Council of the Pan American Health Organization. This participation emphasized the importance of embedding climate action into health sector priorities across the Americas, sharing lessons from regional initiatives, and fostering collaboration with ministries of health and PAHO to accelerate resilient, low-carbon health systems.","Del 29 de septiembre al 3 de octubre, Health Care Without Harm participó en el 62º Consejo Directivo de la Organización Panamericana de la Salud. Esta participación enfatizó la importancia de integrar la acción climática en las prioridades del sector salud en las Américas, compartir lecciones de iniciativas regionales y fomentar la colaboración con los ministerios de salud y la OPS para acelerar sistemas de salud resilientes y de bajo carbono.",,,3 days,3 days
NSA-2025-31-WPA_4,31,,PAHO/OPS,Progress Report - Reporte de Progreso,OCM 01: Access to comprehensive and quality health services; OCM 07: Health workforce; OCM 18: Social and environmental determinants; OCM 23: Health emergencies preparedness and risk reduction,OCM 01: Acceso a servicios de salud integrales y de calidad; OCM 07: Fuerza laboral de salud; OCM 18: Determinantes sociales y ambientales; OCM 23: Preparación para emergencias de salud y reducción de riesgos.,"Goal 1: Equitable Access to Health Services; Goal 3: Human Resources for Health; Goal 7: Evidence and Knowledge in Health; Goal 8: Outbreaks, Emergencies, and Disasters","Meta 1: Acceso Equitativo a los Servicios de Salud; Meta 3: Recursos Humanos para la Salud; Meta 7: Evidencia y Conocimiento en Salud; Meta 8: Brotes, Emergencias y Desastres","Health Care Without Harm participated in the final session of the course “Scaling-Up Health Adaptation Measures to Meet the Climate Change Challenge in the Americas” with a virtual presentation in October. The session, organized under the leadership of PAHO together with GCCHE, WHO, IAI, Health Canada, and EarthMedic EarthNurse, focused on building resilient and low-carbon health systems, addressing both synergies and challenges.","Health Care Without Harm participó en la sesión final del curso “Escalando Medidas de Adaptación en Salud para Enfrentar el Desafío del Cambio Climático en las Américas” con una presentación virtual en octubre. La sesión, organizada bajo el liderazgo de la OPS junto con GCCHE, OMS, IAI, Salud Canadá y EarthMedic EarthNurse, se centró en la construcción de sistemas de salud resilientes y de bajo carbono, abordando tanto sinergias como desafíos.",,,1 day,1 day
